ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1198770434,2026-02-04T07:00:36.491000,2026-02-04T07:01:26.767000,sell,0.15,0.15,XAUUSDm,5080.924,5075.215,5088.989,,0,0,85.63,,,user
1198753612,2026-02-04T06:51:51.610000,2026-02-04T07:01:26.766000,sell,0.15,0.15,XAUUSDm,5074.935,5075.215,5088,5062.033,0,0,-4.2,,,user
1198745059,2026-02-04T06:47:28.089000,2026-02-04T06:51:28.304000,sell,0.15,0.15,XAUUSDm,5078.48,5076.172,,,0,0,34.62,,,user
1198734943,2026-02-04T06:44:38.185000,2026-02-04T06:47:10.016000,sell,0.05,0.05,XAUUSDm,5068.588,5075.464000000001,5074,,0,0,-34.38,,,sl
1198730488,2026-02-04T06:42:48.086000,2026-02-04T06:47:09.842000,sell,0.05,0.05,XAUUSDm,5065.739,5075.464000000001,5074,,0,0,-48.62,,,sl
1198708478,2026-02-04T06:30:25.536000,2026-02-04T06:35:07.847000,buy,0.05,0.05,XAUUSDm,5059.939,5062.719,5040,,0,0,13.9,,,user
1198687341,2026-02-04T06:20:09.217000,2026-02-04T06:21:25.012000,sell,0.15,0.15,XAUUSDm,5065.417,5060.879,,,0,0,68.07,,,user
1198651323,2026-02-04T06:08:55.807000,2026-02-04T06:19:00.616000,buy,0.15,0.15,XAUUSDm,5058.714,5065.775000000001,,5077,0,0,105.92,,,user
1198647107,2026-02-04T06:07:54.476000,2026-02-04T06:18:44.662000,buy,0.15,0.15,XAUUSDm,5065.287,5065.828,,5077,0,0,8.11,,,user
1198638100,2026-02-04T06:06:07.787000,2026-02-04T06:18:33.733000,buy,0.15,0.15,XAUUSDm,5076.133,5064.895,,5077,0,0,-168.57,,,user
1198627273,2026-02-04T06:01:15.157000,2026-02-04T06:03:59.695000,sell,0.15,0.15,XAUUSDm,5079.275,5077.353,,,0,0,28.83,,,user
1198613841,2026-02-04T05:55:44.520000,2026-02-04T05:58:11.034000,sell,0.15,0.15,XAUUSDm,5082.902,5077.629,5085.169,5070,0,0,79.09,,,user
1198568772,2026-02-04T05:36:37.244000,2026-02-04T05:54:52.051000,sell,0.15,0.15,XAUUSDm,5071.072,5086.517,,5078,0,0,-231.68,,,user
1198603702,2026-02-04T05:51:22.485000,2026-02-04T05:54:52.022000,sell,0.15,0.15,XAUUSDm,5088.901,5086.517,,5078,0,0,35.76,,,user
1198588447,2026-02-04T05:43:33.349000,2026-02-04T05:53:36.332000,sell,0.15,0.15,XAUUSDm,5086.561,5086.106,,5078,0,0,6.83,,,user
1198556950,2026-02-04T05:32:38.973000,2026-02-04T05:33:21.365000,sell,0.15,0.15,XAUUSDm,5078.131,5075.798,,,0,0,35,,,user
1198549604,2026-02-04T05:30:48.684000,2026-02-04T05:32:07.636000,sell,0.15,0.15,XAUUSDm,5080.011,5079.291,,,0,0,10.8,,,user
1198470209,2026-02-04T04:35:34.547000,2026-02-04T04:36:26.681000,sell,0.1,0.1,XAUUSDm,5070.075,5067.049,,,0,0,30.26,,,user
1198406283,2026-02-04T03:45:27.344000,2026-02-04T03:48:12.714000,buy,0.15,0.15,XAUUSDm,5064.906,5068.343,,,0,0,51.56,,,user
1198396490,2026-02-04T03:40:20.137000,2026-02-04T03:43:59.360000,sell,0.1,0.1,XAUUSDm,5070.597,5066.907999999999,,,0,0,36.89,,,user
1198385033,2026-02-04T03:35:09.734000,2026-02-04T03:38:53.408000,sell,0.1,0.1,XAUUSDm,5063.566,5070.093,,,0,0,-65.27,,,user
1198377881,2026-02-04T03:30:13.514000,2026-02-04T03:34:50.118000,sell,0.05,0.05,XAUUSDm,5052.497,5059.3,5059.3,,0,0,-34.01,,,sl
1198381477,2026-02-04T03:32:51.215000,2026-02-04T03:34:49.939000,sell,0.1,0.1,XAUUSDm,5056.521,5059.449,5059.449,,0,0,-29.28,,,sl
1198354534,2026-02-04T03:16:28.105000,2026-02-04T03:17:17.387000,sell,0.05,0.05,XAUUSDm,5049.964,5045.781,,,0,0,20.91,,,user
1198343366,2026-02-04T03:09:50.256000,2026-02-04T03:14:18.333000,sell,0.15,0.15,XAUUSDm,5048.207,5049.6089999999995,,,0,0,-21.03,,,user
1198344313,2026-02-04T03:10:16.312000,2026-02-04T03:14:18.267000,sell,0.15,0.15,XAUUSDm,5052.456,5049.6089999999995,,,0,0,42.7,,,user
1198313164,2026-02-04T02:57:12.915000,2026-02-04T03:00:23.728000,sell,0.15,0.15,XAUUSDm,5036.229,5037.313,,,0,0,-16.26,,,user
1198314686,2026-02-04T02:57:40.997000,2026-02-04T03:00:23.707000,sell,0.15,0.15,XAUUSDm,5042.034,5037.313,,,0,0,70.81,,,user
1198284548,2026-02-04T02:47:19.741000,2026-02-04T02:47:45.361000,sell,0.15,0.15,XAUUSDm,5055.357,5052.259,,,0,0,46.47,,,user
1198226089,2026-02-04T02:20:04.250000,2026-02-04T02:23:33.642000,sell,0.05,0.05,XAUUSDm,5061.189,5055.927,5067.045,,0,0,26.31,,,user
1198215209,2026-02-04T02:12:39.565000,2026-02-04T02:13:11.688000,sell,0.05,0.05,XAUUSDm,5061.493,5058.479,,,0,0,15.07,,,user
1198152784,2026-02-04T01:42:11.718000,2026-02-04T01:43:12.004000,sell,0.15,0.15,XAUUSDm,5032.764,5031.072,,,0,0,25.38,,,user
1198123450,2026-02-04T01:31:19.656000,2026-02-04T01:35:06.394000,buy,0.15,0.15,XAUUSDm,5029.375,5034.478,,,0,0,76.54,,,user
1198064288,2026-02-04T01:10:50.187000,2026-02-04T01:21:02.058000,sell,0.15,0.15,XAUUSDm,5040.811,5040.812,,5035,0,0,-0.01,,,user
1198061007,2026-02-04T01:09:54.928000,2026-02-04T01:21:02.058000,sell,0.15,0.15,XAUUSDm,5031.792,5040.812,,5035,0,0,-135.3,,,user
1198040149,2026-02-04T01:04:33.817000,2026-02-04T01:05:25.512000,sell,0.15,0.15,XAUUSDm,5014.639,5014.62,,,0,0,0.29,,,user
1198030764,2026-02-04T01:01:33.979000,2026-02-04T01:01:59.648000,sell,0.15,0.15,XAUUSDm,5015.118,5009.124,,,0,0,89.91,,,user
1197983105,2026-02-04T00:39:11.025000,2026-02-04T00:39:36.194000,sell,0.15,0.15,XAUUSDm,4990.269,4986.789,,,0,0,52.2,,,user
1197736956,2026-02-03T20:05:05.270000,2026-02-03T20:05:38.105000,sell,0.15,0.15,XAUUSDm,4910.535,4908.987,4913,4906,0,0,23.22,,,user
1197734427,2026-02-03T20:02:53.900000,2026-02-03T20:03:38.673000,sell,0.15,0.15,XAUUSDm,4920.383,4911.358,,,0,0,135.38,,,user
1197732920,2026-02-03T20:01:25.342000,2026-02-03T20:03:38.673000,sell,0.15,0.15,XAUUSDm,4910.297,4911.358,,,0,0,-15.91,,,user
1197724308,2026-02-03T19:53:21.539000,2026-02-03T19:54:24.889000,sell,0.15,0.15,XAUUSDm,4922.285,4917,,4917,0,0,79.28,,,tp
1197720230,2026-02-03T19:50:02.855000,2026-02-03T19:51:23.645000,sell,0.15,0.15,XAUUSDm,4935.3,4930,,4930,0,0,79.5,,,tp
1197716370,2026-02-03T19:46:24.899000,2026-02-03T19:47:33.889000,sell,0.15,0.15,XAUUSDm,4937.785,4933.164,,,0,0,69.32,,,user
1197713504,2026-02-03T19:43:30.994000,2026-02-03T19:45:24.230000,sell,0.15,0.15,XAUUSDm,4944.803,4935.927,,,0,0,133.14,,,user
1197702757,2026-02-03T19:35:11.426000,2026-02-03T19:45:24.230000,sell,0.15,0.15,XAUUSDm,4930.14,4935.927,,,0,0,-86.81,,,user
1197699491,2026-02-03T19:31:33.392000,2026-02-03T19:45:24.187000,sell,0.05,0.05,XAUUSDm,4925.429,4936.3369999999995,,,0,0,-54.54,,,user
1197696230,2026-02-03T19:29:03.794000,2026-02-03T19:31:04.983000,sell,0.05,0.05,XAUUSDm,4927.544,4925.0109999999995,,,0,0,12.66,,,user
1197694167,2026-02-03T19:27:23.982000,2026-02-03T19:31:04.983000,sell,0.05,0.05,XAUUSDm,4920.468,4925.0109999999995,,,0,0,-22.72,,,user
1197684025,2026-02-03T19:18:43.457000,2026-02-03T19:26:03.740000,sell,0.15,0.15,XAUUSDm,4927.039,4920,,4920,0,0,105.59,,,tp
1197680414,2026-02-03T19:16:24.475000,2026-02-03T19:18:02.615000,sell,0.15,0.15,XAUUSDm,4914.844,4928.998,,,0,0,-212.31,,,user
1197678599,2026-02-03T19:15:02.501000,2026-02-03T19:16:31.248000,buy,1,1.0,ETHUSDm,2180.69,2176.62,,,0,0,-4.07,,,user
1197666675,2026-02-03T19:08:16.079000,2026-02-03T19:09:06.898000,sell,0.05,0.05,XAUUSDm,4892.376,4883.032999999999,,,0,0,46.71,,,user
1197645135,2026-02-03T19:06:24.669000,2026-02-03T19:09:06.898000,sell,0.05,0.05,XAUUSDm,4883,4883.032999999999,,,0,0,-0.17,,,user
1197660022,2026-02-03T19:04:12.919000,2026-02-03T19:04:31.138000,sell,0.15,0.15,XAUUSDm,4888.643,4885.119,,,0,0,52.86,,,user
1197655413,2026-02-03T19:01:08.789000,2026-02-03T19:02:54.071000,sell,0.15,0.15,XAUUSDm,4898.042,4897.797,,,0,0,3.67,,,user
1197649310,2026-02-03T18:56:00.141000,2026-02-03T18:58:13.704000,sell,0.05,0.05,XAUUSDm,4909.95,4907.922,,,0,0,10.14,,,user
1197641596,2026-02-03T18:50:20.292000,2026-02-03T18:51:28.644000,sell,0.15,0.15,XAUUSDm,4900.332,4895.670999999999,,,0,0,69.91,,,user
1197638937,2026-02-03T18:48:43.156000,2026-02-03T18:49:06.426000,sell,0.15,0.15,XAUUSDm,4905.623,4901.93,,,0,0,55.4,,,user
1197636256,2026-02-03T18:46:45.160000,2026-02-03T18:47:08.384000,sell,0.15,0.15,XAUUSDm,4913.853,4910.295,,,0,0,53.37,,,user
1197287152,2026-02-03T16:26:12.813000,2026-02-03T16:30:42.027000,sell,0.05,0.05,XAUUSDm,4970.276,4966.958,,,0,0,16.59,,,user
1196821575,2026-02-03T14:30:24.635000,2026-02-03T14:31:42.504000,sell,0.05,0.05,XAUUSDm,4925.655,4918.465999999999,,,0,0,35.95,,,user
1196810827,2026-02-03T14:28:34.182000,2026-02-03T14:31:42.494000,sell,0.05,0.05,XAUUSDm,4918.806,4918.465999999999,,4903,0,0,1.7,,,user
1196803701,2026-02-03T14:27:04.782000,2026-02-03T14:31:42.493000,sell,0.05,0.05,XAUUSDm,4913.534,4918.465999999999,,4903,0,0,-24.66,,,user
1196769160,2026-02-03T14:19:48.714000,2026-02-03T14:20:35.139000,sell,0.05,0.05,XAUUSDm,4916.305,4910.2699999999995,,,0,0,30.18,,,user
1196757081,2026-02-03T14:17:19.447000,2026-02-03T14:17:27.454000,buy,0.05,0.05,XAUUSDm,4905.922,4905.879,,,0,0,-0.21,,,user
1196745278,2026-02-03T14:15:46.525000,2026-02-03T14:16:03.443000,sell,0.05,0.05,XAUUSDm,4917.847,4916.296,,,0,0,7.76,,,user
1196697428,2026-02-03T14:05:04.389000,2026-02-03T14:08:20.190000,sell,0.05,0.05,XAUUSDm,4921.779,4922.2789999999995,,4920,0,0,-2.5,,,user
1196701898,2026-02-03T14:05:50.609000,2026-02-03T14:08:20.190000,sell,0.05,0.05,XAUUSDm,4925.104,4922.2789999999995,,4920,0,0,14.12,,,user
1196655831,2026-02-03T13:56:39.564000,2026-02-03T14:00:29.835000,sell,0.05,0.05,XAUUSDm,4929.641,4926.132,,4900,0,0,17.55,,,user
1196632142,2026-02-03T13:52:33.337000,2026-02-03T13:53:12.295000,sell,0.05,0.05,XAUUSDm,4935.331,4933.173,,,0,0,10.79,,,user
1196607804,2026-02-03T13:47:44.308000,2026-02-03T13:49:57.945000,sell,0.05,0.05,XAUUSDm,4947.988,4945.769,,,0,0,11.09,,,user
1196555004,2026-02-03T13:35:10.056000,2026-02-03T13:39:31.214000,sell,0.05,0.05,XAUUSDm,4933.482,4929.764,,4920,0,0,18.59,,,user
1196467941,2026-02-03T13:13:37.904000,2026-02-03T13:16:12.140000,sell,0.05,0.05,XAUUSDm,4924.047,4923.166,,,0,0,4.41,,,user
